Country code,Country name,2511
MMR,MYANMAR (Burma) ,null
MNE,MONTENEGRO,null
MNG,MONGOLIA,null
MOZ,MOZAMBIQUE,null
MRT,MAURITANIA,null
MUS,MAURITIUS,null
MWI,MALAWI,null
MYS,MALAYSIA,null
NAM,NAMIBIA,null
NER,NIGER,null
NGA,NIGERIA,null
NIC,NICARAGUA,null
NIU,NIUE,null
NLD,NETHERLANDS,null
NOR,NORWAY,null
NPL,NEPAL,null
NRU,NAURU,null
NZL,NEW ZEALAND,null
OMN,OMAN,null
PAK,PAKISTAN,null
PAN,PANAMA,null
PER,PERU,null
PHL,PHILIPPINES,null
PLW,PALAU,null
PNG,PAPUA NEW GUINEA,null
POL,POLAND,null
PRK,"KOREA, D.P.R.O.",null
PRT,PORTUGAL,null
PRY,PARAGUAY,null
PSE,STATE OF PALESTINE,null
QAT,QATAR,null
ROU,ROMANIA,null
RUS,RUSSIA,null
RWA,RWANDA,null
SAU,SAUDI ARABIA,null
SDN,SUDAN,null
SEN,SENEGAL,null
SGP,SINGAPORE,null
SLB,SOLOMON ISLANDS,null
SLE,SIERRA LEONE,null
SLV,EL SALVADOR,null
SMR,SAN MARINO,null
SOM,SOMALIA,null
SRB,SERBIA,null
SSD,SOUTH SUDAN,null
STP,SAO TOME AND PRINCIPE,null
SUR,SURINAME,null
SVK,SLOVAKIA (SLOVAK REPUBLIC),null
SVN,SLOVENIA,null
SWE,SWEDEN,null
SWZ,SWAZILAND,null
SYC,SEYCHELLES,null
SYR,SYRIAN ARAB REPUBLIC,null
TCD,CHAD,null
TGO,TOGO,null
THA,THAILAND,null
TJK,TAJIKISTAN,null
TKM,TURKMENISTAN,null
TLS,EAST TIMOR,null
TON,TONGA,null
TTO,TRINIDAD AND TOBAGO,null
TUN,TUNISIA,null
TUR,TURKEY,null
TUV,TUVALU,null
TZA,"TANZANIA, UNITED REPUBLIC OF",null
UGA,UGANDA,null
UKR,UKRAINE,null
URY,URUGUAY,null
USA,UNITED STATES,null
UZB,UZBEKISTAN,null
VAT,HOLY SEE (VATICAN CITY STATE),null
VCT,SAINT VINCENT AND THE GRENADINES,null
VEN,VENEZUELA,null
VNM,VIET NAM,null
VUT,VANUATU,null
WSM,SAMOA,null
YEM,YEMEN,null
ZAF,SOUTH AFRICA,null
ZMB,ZAMBIA,null
ZWE,ZIMBABWE,null
