Country code,Country name,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999
BLM,SAINT-BARTHÉLEMY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BLR,BELARUS,0.0,0.0,355502.0,0.0,11273.0,11394.0,20717.0,102399.0,2137611.0,670577.0,659306.0,4163907.0,2201750.0,2456005.0,1906669.0,494311.0,1891023.0,0.0,0.0
BLZ,BELIZE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,630479.0,411785.0,1788892.0,620000.0,0.0,0.0,0.0,0.0,0.0,2627507.0,0.0
BMU,BERMUDA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOL,BOLIVIA,0.0,1469030.0,7570134.0,9880985.0,9638797.0,1286264.0,1.2439816E7,9550856.0,6274416.0,3.1027794E7,1.9981261E7,5056835.0,2695767.0,1039626.0,966308.0,5080214.0,6027976.0,0.0,0.0
BRA,BRAZIL,0.0,587130.0,0.0,251425.0,1100700.0,1069610.0,1053482.0,1373927.0,1736560.0,783214.0,1333853.0,2078035.0,6004055.0,584890.0,3401904.0,561574.0,6059274.0,0.0,0.0
BRB,BARBADOS,0.0,0.0,1374860.0,0.0,0.0,0.0,0.0,0.0,241.0,37000.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRN,BRUNEI DARUSSALAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTN,BHUTAN,0.0,0.0,621449.0,250000.0,739076.0,273388.0,2315535.0,56422.0,1928996.0,0.0,43228.0,190000.0,0.0,0.0,0.0,0.0,0.0,50000.0,0.0
BWA,BOTSWANA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103493.0,0.0,100000.0,0.0,0.0,100000.0,0.0,0.0,315779.0,0.0
CAF,CENTRAL AFRICAN REPUBLIC,0.0,7.8248125E7,3.84933346E8,5.39327182E8,1.64507595E8,9.6419366E7,8.2863185E7,8.2908552E7,7.481596E7,1.12874142E8,8.6340868E7,2.6318248E7,1.1503565E7,1.1370843E7,5610339.0,0.0,881898.0,30284.0,0.0
CAN,CANADA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHE,SWITZERLAND,0.0,296150.0,0.0,0.0,0.0,0.0,0.0,811811.0,376506.0,0.0,1237719.0,79817.0,50000.0,0.0,0.0,0.0,0.0,0.0,0.0
CHL,CHILE,0.0,0.0,2125623.0,392430.0,1596312.0,248331.0,1363851.0,6.9658013E7,22799.0,564123.0,402264.0,484545.0,650707.0,71645.0,413358.0,500504.0,599942.0,117468.0,0.0
CHN,CHINA,0.0,0.0,2720626.0,370020.0,1164075.0,2581820.0,2150307.0,1.2743624E7,6008274.0,3.10476263E8,3110613.0,6788123.0,4990572.0,4400095.0,1.3962901E7,5026084.0,1343665.0,765484.0,0.0
CIV,COTE D'IVOIRE,0.0,5949881.0,7614098.0,6.3586581E7,3.3342763E7,1.21551389E8,1.57381779E8,1.6525864E7,1.7587761E7,2.8215324E7,3.7852457E7,4.1687027E7,3.4097297E7,4.2738949E7,6.7430077E7,2220957.0,104167.0,0.0,0.0
CMR,CAMEROON,0.0,6.0063877E7,2.57906178E8,9.5641964E7,2.8094641E7,3.058471E7,6067839.0,1137809.0,476657.0,1.3442602E7,683774.0,631752.0,1687475.0,126317.0,17606.0,6667.0,58537.0,0.0,0.0
COD,"CONGO, THE DRC",0.0,1.63782143E8,5.22038033E8,5.75111946E8,7.41042829E8,6.48688606E8,5.44939784E8,5.79558291E8,6.83508438E8,6.40844257E8,5.26093875E8,4.45209924E8,2.66411183E8,2.28287963E8,1.83107093E8,1.80666471E8,1.54128411E8,2.8870602E7,0.0
COG,CONGO,0.0,5050000.0,1887510.0,6089319.0,3410617.0,1.9426612E7,7579687.0,3.9804571E7,8675271.0,2090270.0,1.3712095E7,1.5276553E7,1.0161596E7,5460948.0,2.6248489E7,1.5390358E7,1.5744828E7,5532946.0,0.0
COK,COOK ISLANDS,0.0,0.0,0.0,0.0,458403.0,0.0,854974.0,99300.0,0.0,0.0,0.0,100000.0,446865.0,0.0,0.0,0.0,24140.0,0.0,0.0
COL,COLOMBIA,0.0,2.6173585E7,5.9063552E7,8.8910588E7,5.8918644E7,5.6148419E7,6.4475571E7,7.5235407E7,6.1607777E7,4.0120722E7,4.9190719E7,3.7173442E7,4.1645001E7,2.5167946E7,4.0518269E7,2.0183769E7,1.7618339E7,379749.0,0.0
COM,COMOROS,0.0,0.0,693428.0,603376.0,0.0,9105285.0,0.0,558502.0,158903.0,1957874.0,277261.0,2500.0,2331134.0,0.0,0.0,0.0,0.0,0.0,0.0
CPV,CAPE VERDE,0.0,0.0,92091.0,2103953.0,0.0,1288835.0,1195304.0,728413.0,2255989.0,3595034.0,1270424.0,376884.0,653902.0,6158.0,0.0,432393.0,0.0,0.0,0.0
CRI,COSTA RICA,0.0,1702152.0,0.0,3221340.0,19474.0,0.0,15075.0,1276885.0,465994.0,941277.0,259000.0,1406940.0,380528.0,0.0,2375.0,58636.0,0.0,0.0,0.0
CUB,CUBA,0.0,396376.0,3271825.0,3845718.0,2241147.0,2.1556672E7,389702.0,1076065.0,4439096.0,1.611652E7,1599233.0,2908631.0,566363.0,3111861.0,168061.0,862023.0,24800.0,0.0,0.0
CUW,CURAÇAO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CYM,CAYMAN ISLANDS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2850.0,0.0,0.0,0.0,0.0,0.0
CYP,CYPRUS,0.0,0.0,0.0,0.0,12422.0,0.0,50000.0,0.0,75301.0,0.0,72046.0,63613.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CZE,CZECH REPUBLIC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30250.0,0.0,0.0,2792059.0,8129995.0,0.0,0.0,0.0
DEU,GERMANY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1504579.0,5406958.0,0.0,0.0,0.0
DJI,DJIBOUTI,0.0,8852191.0,2.6756459E7,2.4209647E7,4.0944052E7,4.4145213E7,4.2031699E7,6739847.0,8098257.0,2.1343329E7,2493756.0,8707416.0,2747807.0,545337.0,4488036.0,1455675.0,84532.0,420667.0,0.0
DMA,DOMINICA,0.0,155701.0,1070825.0,0.0,100000.0,0.0,13643.0,0.0,0.0,0.0,1459652.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DNK,DENMARK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM,DOMINICAN REPUBLIC,0.0,767544.0,4772401.0,1300000.0,5086192.0,1142684.0,3964099.0,8733383.0,2685016.0,2961140.0,1.7407144E7,1027302.0,264201.0,1.2418519E7,1496554.0,0.0,0.0,0.0,0.0
DZA,ALGERIA,0.0,1.9901949E7,3.7909341E7,2.9208127E7,2.3928067E7,2.4615722E7,3.2606841E7,1.7261556E7,1.9378958E7,2.4533384E7,1.8257855E7,2.1165792E7,2.3829637E7,2.2891697E7,1.2233429E7,7845663.0,1.2826271E7,479787.0,0.0
ECU,ECUADOR,0.0,1.6508263E7,6870645.0,8661240.0,1840987.0,4629994.0,4636421.0,1837121.0,3851769.0,1.0026177E7,3648724.0,1.2783931E7,3203590.0,567303.0,1502169.0,2518193.0,1694235.0,0.0,0.0
EGY,EGYPT,0.0,2.3643549E7,6.6388523E7,1.07969456E8,4.5436648E7,1.3413379E7,1.2894219E7,616523.0,8098669.0,2082228.0,3218579.0,70435.0,233298.0,0.0,1114456.0,0.0,2050527.0,0.0,0.0
ERI,ERITREA,0.0,738552.0,6405413.0,4157333.0,4799372.0,1.9678482E7,8582375.0,1.6445633E7,1.6546782E7,1.8652872E7,2.6399896E7,3.6094299E7,1.15279635E8,8.9363577E7,1.66213379E8,5.9001218E7,9.5914151E7,2611218.0,0.0
ESH,WESTERN SAHARA,0.0,0.0,919597.0,0.0,0.0,0.0,867894.0,6172852.0,7136517.0,0.0,5374750.0,37117.0,0.0,0.0,0.0,9286385.0,0.0,0.0,0.0
ESP,SPAIN,0.0,0.0,0.0,1530883.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EST,ESTONIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ETH,ETHIOPIA,655738.0,6.11233978E8,5.09842494E8,5.6013087E8,5.41090013E8,6.7032722E8,8.21105406E8,6.26587238E8,7.07745783E8,1.071739291E9,2.85080166E8,3.91463668E8,5.46698846E8,5.5650285E7,4.45373333E8,1.43604761E8,2.02424076E8,6092796.0,0.0
FIN,FINLAND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FJI,FIJI,0.0,2.9437162E7,802985.0,0.0,3894600.0,5315329.0,540223.0,1973437.0,2636497.0,0.0,0.0,900000.0,0.0,12195.0,2242919.0,0.0,0.0,0.0,0.0
FLK,FALKLAND ISLANDS (MALVINAS),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRA,FRANCE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRO,FAROE ISLANDS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FSM,"MICRONESIA, FEDERATED STATES OF",0.0,0.0,1.3906399E7,0.0,0.0,0.0,620967.0,0.0,0.0,0.0,0.0,590000.0,0.0,7494500.0,10000.0,137825.0,0.0,0.0,0.0
GAB,GABON,0.0,0.0,0.0,0.0,0.0,25750.0,0.0,0.0,0.0,0.0,0.0,30000.0,0.0,40000.0,0.0,214286.0,0.0,0.0,0.0
GBR,UNITED KINGDOM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GEO,GEORGIA,0.0,1014167.0,341292.0,3763181.0,3614851.0,3918696.0,3647090.0,1556934.0,3.9202584E7,1.19888391E8,6638646.0,4904446.0,1.1541446E7,1.6834301E7,1.2467347E7,8167044.0,1.1949538E7,1.0293641E7,0.0
GGY,GUERNSEY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GHA,GHANA,0.0,0.0,9614574.0,1.5867255E7,3295029.0,4876561.0,4883965.0,172035.0,1.3930794E7,1.5057271E7,1.175655E7,146229.0,316510.0,0.0,150.0,1.3436347E7,860443.0,0.0,0.0
GIB,GIBRALTAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GIN,GUINEA,0.0,8251237.0,3.2347413E7,3.82209469E8,1.1849951E7,7071635.0,1.0832733E7,1.6200506E7,1.9123548E7,3.6521668E7,2.4771759E7,2.0950313E7,2.6106492E7,2.7383939E7,3.8365429E7,4.1105228E7,1822175.0,0.0,0.0
GLP,GUADELOUPE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GMB,GAMBIA,0.0,0.0,1859157.0,5351071.0,351144.0,1.4196512E7,255939.0,1160623.0,558297.0,2802440.0,126215.0,670000.0,340357.0,117990.0,1737215.0,0.0,0.0,0.0,0.0
GNB,GUINEA-BISSAU,0.0,0.0,0.0,6534427.0,5527401.0,2110233.0,1491029.0,1502333.0,6125388.0,1.0928032E7,9307017.0,8790250.0,2916591.0,1140744.0,2103439.0,1576524.0,39764.0,0.0,0.0
GNQ,EQUATORIAL GUINEA,0.0,0.0,0.0,200000.0,0.0,63160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRC,GREECE,0.0,9.4466932E7,1904139.0,0.0,0.0,0.0,0.0,0.0,0.0,22571.0,2696149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRD,GRENADA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72046.0,1740000.0,5696897.0,1.6847787E7,0.0,0.0,0.0,0.0,0.0
GRL,GREENLAND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTM,GUATEMALA,0.0,1.0898372E7,1.8064157E7,1.0211265E7,3042794.0,8377963.0,1.0954555E7,4.8188772E7,7698014.0,1.6169951E7,2057858.0,1.1052328E7,3.9041294E7,2554715.0,1422600.0,1867710.0,232250.0,0.0,0.0
GUF,FRENCH GUIANA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GUM,GUAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120772.0,0.0,0.0,0.0
GUY,GUYANA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,524496.0,230000.0,7375166.0,193548.0,0.0,0.0,0.0,0.0,0.0
HKG,HONG KONG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HND,HONDURAS,0.0,7175642.0,7278255.0,1.0107232E7,2627852.0,4299994.0,3252933.0,5135228.0,2560301.0,1.4981701E7,2833004.0,1519766.0,1523737.0,2219842.0,2308900.0,2004053.0,0.0,0.0,0.0
HRV,CROATIA (LOCAL NAME: HRVATSKA),0.0,0.0,203163.0,456701.0,0.0,656836.0,659512.0,924909.0,1023018.0,1183432.0,1480328.0,1327872.0,1761128.0,1636675.0,485487.0,2854803.0,1542705.0,1.0958344E7,0.0
HTI,HAITI,879319.0,3.2901389E7,6.2896171E7,2.00418441E8,1.34671162E8,1.262354E8,4.9788307E8,3.587910194E9,3.7583563E7,2.20316483E8,4.1003445E7,2.6687215E7,1.5305756E7,7.9437841E7,4.1699198E7,172184.0,110174.0,0.0,0.0
HUN,HUNGARY,0.0,0.0,132045.0,0.0,0.0,0.0,0.0,185705.0,0.0,0.0,0.0,0.0,37692.0,0.0,14815.0,0.0,98428.0,83192.0,0.0
IDN,INDONESIA,0.0,3685096.0,1.7665472E7,1.6725956E7,7063655.0,1.3959019E7,1.5854737E7,2.0276882E7,7.9678094E7,1.6292884E7,3.8188445E7,1.45988303E8,8.91700977E8,9.8546088E7,4.4746596E7,9.0015326E7,1.3184336E7,2.1635063E7,2.1580886E7
IMN,ISLE OF MAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IND,INDIA,0.0,119915.0,5493225.0,2.9456921E7,1.8438161E7,1.6414017E7,1.4547204E7,1.1579071E7,1.1038049E7,3.5571895E7,2.0832331E7,7863532.0,9.1230194E7,1.2267721E7,5483893.0,9.6777558E7,1.24342335E8,1.4146097E7,0.0
IRL,IRELAND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4152.0,0.0,0.0,0.0,0.0
IRN,IRAN (ISLAMIC REPUBLIC OF),0.0,8629221.0,7714562.0,1.1245405E7,1.7162837E7,4.1057662E7,1.5572083E7,7308496.0,3488876.0,2099967.0,1504155.0,7241594.0,4805327.0,6.3211224E7,7.0000037E7,5747535.0,1147471.0,3371960.0,0.0
IRQ,IRAQ,258130.0,4.61195342E8,1.09811059E9,1.415665156E9,2.54380245E8,5.0108826E7,1.27145226E8,1.6976225E8,7.7742366E7,2.98174109E8,3.55686864E8,4.7943938E7,1.25938196E8,6.2051362E7,3.43875638E9,1.107001E7,9319472.0,1297971.0,0.0
ISL,ICELAND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISR,ISRAEL,0.0,0.0,1962000.0,1.5908513E7,0.0,0.0,0.0,573781.0,1243286.0,1170387.0,175175.0,2581438.0,1295363.0,822831.0,237530.0,1921917.0,434524.0,0.0,0.0
ITA,ITALY,0.0,0.0,2233882.0,1207813.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0
JAM,JAMAICA,0.0,0.0,0.0,0.0,1312130.0,140987.0,535061.0,237683.0,1593.0,1293073.0,4387567.0,8780000.0,188756.0,4370104.0,78525.0,110117.0,0.0,0.0,0.0
JEY,JERSEY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JOR,JORDAN,685859.0,2.06213524E8,9.33701963E8,9.21424315E8,9.39121344E8,2.6350206E8,5.6321201E7,5.2259714E7,6.3180406E7,5.4265825E7,1.7191744E7,6433816.0,1890429.0,800525.0,2773773.0,1837937.0,730217.0,1029733.0,0.0
JPN,JAPAN,0.0,0.0,0.0,0.0,2912298.0,0.0,7.35797114E8,0.0,0.0,0.0,66667.0,0.0,0.0,199261.0,0.0,0.0,0.0,0.0,0.0
KAZ,KAZAKHSTAN,0.0,877193.0,0.0,2124685.0,100191.0,657469.0,1060000.0,1733121.0,149995.0,545957.0,0.0,140000.0,440254.0,20000.0,69245.0,0.0,361249.0,0.0,0.0
KEN,KENYA,0.0,6.8919336E7,2.02972669E8,2.66302451E8,4.43736101E8,6.36689143E8,6.46172552E8,4.17632194E8,5.15837962E8,2.79070999E8,3.6929319E7,2.76719815E8,1.826056E7,6.4008977E7,1.229632E7,4.3782464E7,1.2228932E8,7462723.0,0.0
KGZ,KYRGYZSTAN,0.0,339751.0,2401772.0,5355113.0,7118173.0,9355248.0,1.0930838E7,1.36462529E8,1.3137146E7,7431336.0,2845870.0,6254180.0,1043170.0,1099610.0,1654406.0,1126533.0,0.0,0.0,0.0
KHM,CAMBODIA,0.0,340136.0,1309752.0,1.9464832E7,9588541.0,1.8639276E7,2.3789102E7,1.7451515E7,6988959.0,1.1441444E7,1.1817146E7,5652971.0,9646660.0,7165941.0,1982728.0,1.3356475E7,8676318.0,1.8970062E7,0.0
KIR,KIRIBATI,0.0,0.0,250000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KNA,SAINT KITTS AND NEVIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,393000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KOR,"KOREA, REPUBLIC OF",0.0,0.0,454207.0,539964.0,150000.0,0.0,0.0,0.0,0.0,0.0,0.0,13200.0,0.0,0.0,130488.0,190000.0,0.0,0.0,0.0
KWT,KUWAIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3535984.0,95238.0,104167.0,0.0,0.0
LAO,LAOS ,0.0,1234813.0,289768.0,5428088.0,4424602.0,9323783.0,6522898.0,7750182.0,2.1103424E7,8452703.0,2478291.0,2082234.0,5184818.0,3810425.0,2444078.0,2047236.0,501931.0,1096840.0,0.0
LBN,LEBANON,2652347.0,4.12167004E8,1.289361915E9,1.093481621E9,1.040838468E9,1.65348683E8,4.3595581E7,3.5702669E7,6.427248E7,7.9175359E7,1.65889177E8,5.0185513E8,8173660.0,7638481.0,889753.0,3621092.0,879314.0,0.0,0.0
LBR,LIBERIA,0.0,4678230.0,2.68268269E8,1.187642725E9,1.682772E7,6.109185E7,1.52024473E8,3.007772E7,6.6315367E7,1.38547513E8,1.23427388E8,1.19398398E8,1.13777966E8,1.44408957E8,5.2918443E7,1.351272E7,1024692.0,1288628.0,0.0
LBY,LIBYA,0.0,4.7642397E7,2.0747541E7,4.546645E7,1.1035726E7,1.6928969E7,9.9285877E7,152439.0,0.0,0.0,577738.0,0.0,60976.0,0.0,0.0,0.0,0.0,0.0,0.0
LCA,SAINT LUCIA,0.0,0.0,0.0,78054.0,0.0,0.0,1616294.0,211221.0,0.0,18250.0,90432.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIE,LIECHTENSTEIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LKA,SRI LANKA,0.0,276922.0,8786519.0,1.0023695E7,1.5010857E7,6.8739828E7,1.64655047E8,1.92594515E8,2.71618391E8,1.72741648E8,1.34990516E8,8.105272E7,6.43475063E8,7.5616076E7,2.0839109E7,8665624.0,7299484.0,878460.0,0.0
LSO,LESOTHO,0.0,6033854.0,1308580.0,512907.0,3974855.0,2.8331509E7,6635315.0,645959.0,870231.0,3640286.0,1.9312487E7,6520054.0,5232640.0,2377891.0,2208283.0,8229324.0,0.0,0.0,0.0
LTU,LITHUANIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
